way	order	EC	KO	kegg_name
Acetyl-CoA	1	2.3.1.9	K00626	acetyl-CoA C-acetyltransferase [EC:2.3.1.9]
Acetyl-CoA	1	2.8.3.5	K01027	3-oxoacid CoA-transferase [EC:2.8.3.5]
Acetyl-CoA	1	2.8.3.5	K01028	3-oxoacid CoA-transferase subunit A [EC:2.8.3.5]
Acetyl-CoA	1	2.8.3.5	K01029	3-oxoacid CoA-transferase subunit B [EC:2.8.3.5]
Acetyl-CoA	2	1.1.1.35	K00022	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
Acetyl-CoA	2	1.1.1.35	K07516	3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]
Acetyl-CoA	2	1.1.1.35	K01825	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]
Acetyl-CoA	2	4.2.1.17	K01825	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]
Acetyl-CoA	2	5.1.2.3	K01825	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]
Acetyl-CoA	2	5.3.3.8	K01825	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase / enoyl-CoA isomerase [EC:1.1.1.35 4.2.1.17 5.1.2.3 5.3.3.8]
Acetyl-CoA	2	1.1.1.35	K01782	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]
Acetyl-CoA	2	4.2.1.17	K01782	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]
Acetyl-CoA	2	5.1.2.3	K01782	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]
Acetyl-CoA	2	1.1.1.35	K07514	enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:4.2.1.17 1.1.1.35 5.3.3.8]
Acetyl-CoA	2	4.2.1.17	K07514	enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:4.2.1.17 1.1.1.35 5.3.3.8]
Acetyl-CoA	2	5.3.3.8	K07514	enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase / 3,2-trans-enoyl-CoA isomerase [EC:4.2.1.17 1.1.1.35 5.3.3.8]
Acetyl-CoA	2	1.1.1.157	K00074	3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
Acetyl-CoA	2	1.1.1.36	K00023	acetoacetyl-CoA reductase [EC:1.1.1.36]
Acetyl-CoA	2	1.1.1.35	K08683	3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase [EC:1.1.1.35 1.1.1.178]
Acetyl-CoA	2	1.1.1.178	K08683	3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase [EC:1.1.1.35 1.1.1.178]
Acetyl-CoA	2	1.1.1.35	K15016	3-hydroxybutyryl-CoA dehydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.55 1.1.1.35]
Acetyl-CoA	2	4.2.1.55	K15016	3-hydroxybutyryl-CoA dehydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.55 1.1.1.35]
Acetyl-CoA	2	1.1.1.35	K12405	3-hydroxyacyl-CoA dehydrogenase / 3a,7a,12a-trihydroxy-5b-cholest-24-enoyl-CoA hydratase [EC:1.1.1.35 4.2.1.107]
Acetyl-CoA	2	4.2.1.107	K12405	3-hydroxyacyl-CoA dehydrogenase / 3a,7a,12a-trihydroxy-5b-cholest-24-enoyl-CoA hydratase [EC:1.1.1.35 4.2.1.107]
Acetyl-CoA	3	4.2.1.17	K01692	enoyl-CoA hydratase [EC:4.2.1.17]
Acetyl-CoA	3	4.2.1.17	K07515	enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211]
Acetyl-CoA	3	1.1.1.211	K07515	enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211]
Acetyl-CoA	3	4.2.1.17	K07511	enoyl-CoA hydratase [EC:4.2.1.17]
Acetyl-CoA	3	4.2.1.17	K01715	enoyl-CoA hydratase [EC:4.2.1.17]
Acetyl-CoA	3	4.2.1.55	K17865	3-hydroxybutyryl-CoA dehydratase [EC:4.2.1.55]
Acetyl-CoA	4	1.3.1.86	K17829	crotonyl-CoA reductase [EC:1.3.1.86]
Acetyl-CoA	4	1.3.1.44	K10783	trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.44]
Acetyl-CoA	4	1.3.1.44	K00209	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
Acetyl-CoA	4	1.3.1.9	K00209	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
Acetyl-CoA	5	2.8.3.8	K01034	acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9]
Acetyl-CoA	5	2.8.3.8	K01035	acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.8 2.8.3.9]
Acetyl-CoA	5	2.8.3.9	K01034	acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9]
Acetyl-CoA	5	2.8.3.9	K01035	acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.8 2.8.3.9]
Acetyl-CoA	5	2.8.3.8	K19709	acetate CoA-transferase [EC:2.8.3.8]
Acetyl-CoA	6	2.3.1.19	K00634	phosphate butyryltransferase [EC:2.3.1.19]
Acetyl-CoA	7	2.7.2.7	K00929	butyrate kinase [EC:2.7.2.7]
Glutarate	1	1.1.99.2	K00109	2-hydroxyglutarate dehydrogenase [EC:1.1.99.2]
Glutarate	2	2.8.3.12	K01039	glutaconate CoA-transferase, subunit A [EC:2.8.3.12]
Glutarate	2	2.8.3.12	K01040	glutaconate CoA-transferase, subunit B [EC:2.8.3.12]
Glutarate	4	4.1.1.70	K01615	glutaconyl-CoA decarboxylase [EC:4.1.1.70]
Glutarate	4	1.3.1.86	K17829	crotonyl-CoA reductase [EC:1.3.1.86]
Glutarate	4	1.3.1.9	K00209	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
Glutarate	4	1.3.1.44	K00209	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
Glutarate	4	1.3.1.44	K10783	trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.44]
Glutarate	5	2.8.3.8	K01034	acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9]
Glutarate	5	2.8.3.8	K01035	acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.8 2.8.3.9]
Glutarate	5	2.8.3.9	K01034	acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9]
Glutarate	5	2.8.3.9	K01035	acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.8 2.8.3.9]
Glutarate	5	2.8.3.8	K19709	acetate CoA-transferase [EC:2.8.3.8]
Glutarate	6	2.3.1.19	K00634	phosphate butyryltransferase [EC:2.3.1.19]
Glutarate	7	2.7.2.7	K00929	butyrate kinase [EC:2.7.2.7]
4-aminobutyrate/Succinate	1	1.1.1.61	K00043	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
4-aminobutyrate/Succinate	1	1.1.1.61	K08318	4-hydroxybutyrate dehydrogenase / sulfolactaldehyde 3-reductase [EC:1.1.1.61 1.1.1.373]
4-aminobutyrate/Succinate	1	1.1.1.373	K08318	4-hydroxybutyrate dehydrogenase / sulfolactaldehyde 3-reductase [EC:1.1.1.61 1.1.1.373]
4-aminobutyrate/Succinate	1	1.1.1.61	K18120	4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]
4-aminobutyrate/Succinate	2	2.8.3.-	K18122	4-hydroxybutyrate CoA-transferase [EC:2.8.3.-]
4-aminobutyrate/Succinate	3	4.2.1.120	K14534	4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3]
4-aminobutyrate/Succinate	3	5.3.3.3	K14534	4-hydroxybutyryl-CoA dehydratase / vinylacetyl-CoA-Delta-isomerase [EC:4.2.1.120 5.3.3.3]
4-aminobutyrate/Succinate	4	1.3.1.86	K17829	crotonyl-CoA reductase [EC:1.3.1.86]
4-aminobutyrate/Succinate	4	1.3.1.44	K00209	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
4-aminobutyrate/Succinate	4	1.3.1.9	K00209	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.9 1.3.1.44]
4-aminobutyrate/Succinate	4	1.3.1.44	K10783	trans-2-enoyl-CoA reductase (NAD+) [EC:1.3.1.44]
4-aminobutyrate/Succinate	5	2.8.3.8	K01034	acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9]
4-aminobutyrate/Succinate	5	2.8.3.8	K01035	acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.8 2.8.3.9]
4-aminobutyrate/Succinate	5	2.8.3.9	K01034	acetate CoA/acetoacetate CoA-transferase alpha subunit [EC:2.8.3.8 2.8.3.9]
4-aminobutyrate/Succinate	5	2.8.3.9	K01035	acetate CoA/acetoacetate CoA-transferase beta subunit [EC:2.8.3.8 2.8.3.9]
4-aminobutyrate/Succinate	5	2.8.3.8	K19709	acetate CoA-transferase [EC:2.8.3.8]
4-aminobutyrate/Succinate	6	2.3.1.19	K00634	phosphate butyryltransferase [EC:2.3.1.19]
4-aminobutyrate/Succinate	7	2.7.2.7	K00929	butyrate kinase [EC:2.7.2.7]

